player,player_id,season,posteam,full_player_name,position
R.Anderson,32013030-2d30-3033-3236-3838f52d40a0,2016,NYJ,Robby Anderson,WR
R.Anderson,32013030-2d30-3033-3236-3838f52d40a0,2017,NYJ,Robby Anderson,WR
R.Anderson,32013030-2d30-3033-3236-3838f52d40a0,2018,NYJ,Robby Anderson,WR
R.Anderson,32013030-2d30-3033-3236-3838f52d40a0,2019,NYJ,Robby Anderson,WR
R.Armstead,32013030-2d30-3033-3532-36385a5927ff,2019,JAX,Ryquell Armstead,RB
R.Barden,32013030-2d30-3032-3639-30321b143c8e,2011,NYG,Ramses Barden,WR
R.Barden,32013030-2d30-3032-3639-30321b143c8e,2012,NYG,Ramses Barden,WR
R.Bonnafon,32013030-2d30-3033-3435-3738329cb6d6,2019,CAR,Reggie Bonnafon,RB
R.Brockel,32013030-2d30-3032-3735-3833b362bfe4,2011,CAR,Richie Brockel,TE
R.Brockel,32013030-2d30-3032-3735-3833b362bfe4,2012,CAR,Richie Brockel,TE
R.Brockel,32013030-2d30-3032-3735-3833b362bfe4,2013,CAR,Richie Brockel,TE
R.Brown,32013030-2d30-3032-3334-33378f0f9181,2011,PHI,Ronnie Brown,RB
R.Brown,32013030-2d30-3032-3334-33378f0f9181,2012,LAC,Ronnie Brown,RB
R.Brown,32013030-2d30-3032-3334-33378f0f9181,2013,LAC,Ronnie Brown,RB
R.Brown,32013030-2d30-3032-3334-33378f0f9181,2014,HOU,Ronnie Brown,RB
R.Brown,32013030-2d30-3032-3334-33378f0f9181,2014,LAC,Ronnie Brown,RB
R.Broyles,32013030-2d30-3032-3932-30397d04bbf2,2012,DET,Ryan Broyles,WR
R.Broyles,32013030-2d30-3032-3932-30397d04bbf2,2013,DET,Ryan Broyles,WR
R.Broyles,32013030-2d30-3032-3932-30397d04bbf2,2014,DET,Ryan Broyles,WR
R.Burkhead,32013030-2d30-3033-3032-3838e1100f11,2014,CIN,Rex Burkhead,RB
R.Burkhead,32013030-2d30-3033-3032-3838e1100f11,2015,CIN,Rex Burkhead,RB
R.Burkhead,32013030-2d30-3033-3032-3838e1100f11,2016,CIN,Rex Burkhead,RB
R.Burkhead,32013030-2d30-3033-3032-3838e1100f11,2017,NE,Rex Burkhead,RB
R.Burkhead,32013030-2d30-3033-3032-3838e1100f11,2018,NE,Rex Burkhead,RB
R.Burkhead,32013030-2d30-3033-3032-3838e1100f11,2019,NE,Rex Burkhead,RB
R.Bush,32013030-2d30-3032-3432-3137b3342bb5,2011,MIA,Reggie Bush,RB
R.Bush,32013030-2d30-3032-3432-3137b3342bb5,2012,MIA,Reggie Bush,RB
R.Bush,32013030-2d30-3032-3432-3137b3342bb5,2013,DET,Reggie Bush,RB
R.Bush,32013030-2d30-3032-3432-3137b3342bb5,2014,DET,Reggie Bush,RB
R.Bush,32013030-2d30-3032-3432-3137b3342bb5,2015,SF,Reggie Bush,RB
R.Bush,32013030-2d30-3032-3432-3137b3342bb5,2016,BUF,Reggie Bush,RB
R.Cartwright,32013030-2d30-3032-3133-3537873b62d8,2011,LV,Rock Cartwright,RB
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2011,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2012,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2013,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2014,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2015,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2016,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2017,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2018,GB,Randall Cobb,WR
R.Cobb,32013030-2d30-3032-3830-303218eca9b5,2019,DAL,Randall Cobb,WR
R.Cooper,32013030-2d30-3032-3737-3538f89ea146,2011,PHI,Riley Cooper,WR
R.Cooper,32013030-2d30-3032-3737-3538f89ea146,2012,PHI,Riley Cooper,WR
R.Cooper,32013030-2d30-3032-3737-3538f89ea146,2013,PHI,Riley Cooper,WR
R.Cooper,32013030-2d30-3032-3737-3538f89ea146,2014,PHI,Riley Cooper,WR
R.Cooper,32013030-2d30-3032-3737-3538f89ea146,2015,PHI,Riley Cooper,WR
R.Cracraft,32013030-2d30-3033-3430-3534830d2eba,2018,DEN,River Cracraft,WR
R.D'Imperio,32013030-2d30-3032-3736-31325ae74c97,2011,MIN,Ryan DImperio,FB
R.Davis,32013030-2d30-3032-3334-3239869c1a57,2011,DET,Rashied Davis,WR
R.Davis,32013030-2d30-3033-3335-33305589b0cc,2019,PHI,Robert Davis,WR
